ID	LogFC	Pvalue	Symbol
1	B0YIW6	-0.0687218582324435	0.85154714437471	ARCN1
2	F8VYN9	0.503448785292543	0.0501018378767015	ARL1
3	Q9NVJ2	0.255171987077906	0.0895551158178264	ARL8B
4	O95352	0.0149465288311354	0.94356409966784	ATG7
5	P59827	0.291727594436105	0.204918985380731	BPIFB4
6	B4E3S0	-0.0200648230127292	0.973850413449996	CORO1C
7	Q9UQ03	0.11377755346507	0.376908902432268	CORO2B
8	Q08257	-0.646367875201172	0.0355829664665794	CRYZ
9	P39656	0.1628152561172	0.70055222041913	DDOST
10	Q9NVH1	0.0414278311584303	0.994076865408548	DNAJC11
11	Q7L775	-0.000567319955637262	0.908474229501989	EPM2AIP1
12	O75874	-0.185348947279358	0.0833072995212666	IDH1
13	E7EVA0	-0.127094795596633	0.597126401327915	MAP4
14	P28482	0.117353005567693	0.0424875177200629	MAPK1
15	A0A087X1G4	-0.453309589052685	0.00612156416006033	NUDT13
16	O43242	0.138973657315981	0.23857644373313	PSMD3
17	P61106	0.0172682762151563	0.864177909820385	RAB14
18	P62820	0.204952335483583	0.274118674008486	RAB1A
19	Q9H0U4	-0.00269745436445254	0.899207396198648	RAB1B
20	Q9UL25	0.615020285784961	0.0230805466457877	RAB21
21	P61019	-0.124430215942483	0.146703344135979	RAB2A
22	Q15286	0.319941648928092	0.189480765801706	RAB35
23	P20338	-0.0246650692391539	0.875760304418401	RAB4A
24	P61018	0.00231099163428657	0.959756646955388	RAB4B
25	Q9Y3L5	0.00673851520067741	0.986895306832416	RAP2C
26	Q09028	0.241406658466103	0.562358390491692	RBBP4
27	G3V1L9	0.13318119989491	0.773194024580725	TJP1
28	E7EQ72	0.123791913449094	0.939727864747287	TMED2
